shipment_id,duration_seconds,distance_meters
SHP_1729,86175.9,2025547.9
SHP_1730,110168.0,2692475.3
SHP_1731,170289.3,4337121.5
SHP_1733,93404.6,2236958.3
SHP_1735,133682.7,3310257.3
SHP_1736,53413.5,1267495.3
SHP_1738,84806.8,2020027.4
SHP_1741,2944.1,55402.8
SHP_1742,172544.2,4383247.5
SHP_1743,186208.1,4647440.0
SHP_1744,193780.8,4820274.0
SHP_1746,196815.7,4888356.0
SHP_1747,88850.0,2139641.3
SHP_1748,87828.9,2129325.0
SHP_1750,175238.3,4450556.5
SHP_1752,93083.8,2201877.3
SHP_1754,87473.0,2126157.5
SHP_1756,86177.7,2046732.6
SHP_1758,173210.2,4402371.5
SHP_1764,67736.2,1574746.8
SHP_1765,41339.1,974062.2
SHP_1766,87247.5,2060901.5
SHP_1767,97415.8,2293805.0
SHP_1768,87276.4,2062161.0
SHP_1772,88050.2,2076538.5
SHP_1773,104115.3,2432383.5
SHP_1776,86826.9,2058821.4
SHP_1777,184852.0,4614781.0
SHP_1779,82778.7,1942466.8
SHP_1781,193113.4,4818169.0
SHP_1782,91576.9,2199942.5
SHP_1784,74250.3,1753187.5
SHP_1788,173573.4,4408762.5
SHP_1793,78530.9,1846842.8
SHP_1794,87909.5,2080129.9
SHP_1795,167262.7,4266827.5
SHP_1798,127442.2,3142658.5
SHP_1799,174044.9,4418694.0
SHP_1801,163305.7,4064699.8
SHP_1803,2746.7,49360.3
SHP_1804,94567.2,2232467.0
SHP_1807,95184.9,2244034.8
SHP_1809,95756.5,2259945.3
SHP_1811,87341.8,2071180.6
SHP_1814,86289.4,2097445.8
